,QWK_test,QWK_val,QWK_train,acc_test,acc_val,acc_train,params
xgb,0.32011315792381734,0.4016447368421052,1.0,0.616822429906542,0.6401869158878505,1.0,"{'colsample_bytree': 0.5369582726627595, 'learning_rate': 0.08251323454296797, 'max_depth': 7, 'n_estimators': 150, 'subsample': 0.7018888351309895}"
lgbm,0.3137192882572283,0.3915358299916174,0.9115368147728685,0.5962616822429907,0.6214953271028038,0.9385245901639344,"{'learning_rate': 0.0557301128600552, 'max_depth': 3, 'n_estimators': 400, 'subsample': 0.8616492018371803}"
catboost,0.33156534279627037,0.3823918032406871,0.8540110494623148,0.6205607476635514,0.6214953271028038,0.9209601873536299,"{'depth': 4.0, 'iterations': 490.0, 'learning_rate': 0.1376332588529625, 'verbose': 0}"
rf,0.30042168016369786,0.33620275079349804,0.7646625830411173,0.6205607476635514,0.6121495327102804,0.8747072599531616,"{'max_depth': 8, 'max_features': 0.9150448161862402, 'n_estimators': 70}"
