,QWK_test,QWK_val,QWK_train,acc_test,acc_val,acc_train,params
xgb,0.3486748741148419,0.44284895056772566,0.8423716660869072,0.6242990654205608,0.6495327102803738,0.90807962529274,"{'colsample_bytree': 0.6530623209539075, 'learning_rate': 0.041834289727887844, 'max_depth': 4, 'n_estimators': 350, 'subsample': 0.500010984522892}"
lgbm,0.2957048001356114,0.4033774095905688,0.9698557576254435,0.616822429906542,0.6355140186915887,0.9759953161592506,"{'learning_rate': 0.02214986607894301, 'max_depth': 8, 'n_estimators': 300, 'subsample': 0.5797584290514892}"
catboost,0.36799460762853786,0.4173058651773921,1.0,0.616822429906542,0.6308411214953271,1.0,"{'depth': 9.0, 'iterations': 420.0, 'learning_rate': 0.14055833960951122, 'verbose': 0}"
rf,0.3152730375426621,0.3475609756097561,0.7311807648820092,0.6392523364485981,0.6542056074766355,0.8694379391100703,"{'max_depth': 8, 'max_features': 0.7178831667788228, 'n_estimators': 160}"
logistic,0.24686486178830946,0.26643087284091194,0.23852889961422397,0.5906542056074766,0.6121495327102804,0.5889929742388759,{'C': 0.057097293444655695}
knn,0.1291286257594213,0.2415798993009729,0.2688156478897087,0.6,0.5934579439252337,0.6352459016393442,{'n_neighbors': 10}
