,QWK_test,QWK_val,QWK_train,acc_test,acc_val,acc_train,params
xgb,0.29795100205774616,0.4040763123592843,0.8507236346371434,0.6130841121495327,0.6448598130841121,0.9039812646370023,"{'colsample_bytree': 0.7109693191333081, 'learning_rate': 0.011618155731842515, 'max_depth': 6, 'n_estimators': 200, 'subsample': 0.7954110400181794}"
lgbm,0.26708312784262156,0.37464631940256965,1.0,0.5887850467289719,0.6121495327102804,1.0,"{'learning_rate': 0.04085431936204919, 'max_depth': 7, 'n_estimators': 250, 'subsample': 0.7826500823572337}"
catboost,0.30773188553261577,0.40082364462747655,0.4323470582495853,0.6336448598130842,0.6612149532710281,0.7031615925058547,"{'depth': 4.0, 'iterations': 490.0, 'learning_rate': 0.021038582546665952, 'verbose': 0}"
rf,0.2842032560434139,0.33228063970086663,0.7119978069895831,0.6299065420560748,0.6518691588785047,0.8483606557377049,"{'max_depth': 7, 'max_features': 0.5765038497328544, 'n_estimators': 70}"
logistic,0.27223714512340447,0.288112555144867,0.2272869935503572,0.5981308411214953,0.6144859813084113,0.5907494145199064,{'C': 0.038712493829389204}
knn,0.15227986977549435,0.2874904784136423,0.3277335031721238,0.5570093457943925,0.602803738317757,0.6715456674473068,{'n_neighbors': 5}
