,QWK_test,QWK_val,QWK_train,acc_test,acc_val,acc_train,params
xgb,0.3170360540341717,0.4364219996835228,0.8744574804692968,0.6261682242990654,0.6495327102803738,0.9192037470725996,"{'colsample_bytree': 0.7033301972801452, 'learning_rate': 0.07056429616697203, 'max_depth': 5, 'n_estimators': 110, 'subsample': 0.9666451745604503}"
lgbm,0.3206505399354128,0.43303131093015257,0.9462302813837946,0.6224299065420561,0.647196261682243,0.9584309133489461,"{'learning_rate': 0.12202833590633838, 'max_depth': 7, 'n_estimators': 50, 'subsample': 0.9525697758542256}"
catboost,0.335036066327557,0.4322531741519803,0.8254603873218517,0.6280373831775701,0.6448598130841121,0.9016393442622951,"{'depth': 6.0, 'iterations': 350.0, 'learning_rate': 0.06999980405104361, 'verbose': 0}"
rf,0.29617177763074887,0.35501863385107923,0.7485917233171282,0.6317757009345795,0.6448598130841121,0.8688524590163934,"{'max_depth': 8, 'max_features': 0.7591599729181119, 'n_estimators': 220}"
