,QWK_test,QWK_val,QWK_train,acc_test,acc_val,acc_train,params
xgb,0.36154780620265825,0.42021674140508225,0.8386417620384367,0.6317757009345795,0.6448598130841121,0.8905152224824356,"{'colsample_bytree': 0.9967030128376158, 'learning_rate': 0.0557301128600552, 'max_depth': 3, 'n_estimators': 400, 'subsample': 0.8616492018371803}"
lgbm,0.3856470117255403,0.4129749005623371,0.9509970437560823,0.6242990654205608,0.633177570093458,0.9642857142857143,"{'learning_rate': 0.05317349667151782, 'max_depth': 6, 'n_estimators': 190, 'subsample': 0.9929208033146628}"
catboost,0.3526020404615031,0.3967689975364791,0.7119682235107545,0.6336448598130842,0.633177570093458,0.8407494145199064,"{'depth': 4.0, 'iterations': 500.0, 'learning_rate': 0.08119367913818946, 'verbose': 0}"
rf,0.3371831996420105,0.3799646845233655,0.6581299991558829,0.6299065420560748,0.6588785046728972,0.8302107728337237,"{'max_depth': 7, 'max_features': 0.865019800181027, 'n_estimators': 120}"
