,QWK_test,QWK_val,QWK_train,acc_test,acc_val,acc_train,params
xgb,0.33167382854714567,0.42309728975111927,0.9127517327056363,0.6299065420560748,0.6705607476635514,0.9467213114754098,"{'colsample_bytree': 0.8270678831922279, 'learning_rate': 0.010645419811360284, 'max_depth': 9, 'n_estimators': 190, 'subsample': 0.5857046698603472}"
lgbm,0.36253547645266737,0.42289013718864,1.0,0.6205607476635514,0.633177570093458,1.0,"{'learning_rate': 0.08251323454296797, 'max_depth': 7, 'n_estimators': 150, 'subsample': 0.7018888351309895}"
catboost,0.3503556633358793,0.4316922224274894,0.8498888539050276,0.616822429906542,0.6378504672897196,0.9215456674473068,"{'depth': 4.0, 'iterations': 490.0, 'learning_rate': 0.1376332588529625, 'verbose': 0}"
rf,0.3462179128145072,0.4203852600383803,0.8740956490471053,0.6317757009345795,0.6612149532710281,0.9320843091334895,"{'max_depth': 10, 'max_features': 0.5027041892551045, 'n_estimators': 200}"
