,QWK_test,QWK_val,QWK_train,acc_test,acc_val,acc_train,params
xgb,0.31902494569533546,0.40573975639406,0.9311021366452075,0.616822429906542,0.6565420560747663,0.9613583138173302,"{'colsample_bytree': 0.8200417181083988, 'learning_rate': 0.011130024024998682, 'max_depth': 9, 'n_estimators': 210, 'subsample': 0.5817948214162343}"
lgbm,0.29914638269100735,0.4093292851228264,0.9727493606721034,0.5925233644859813,0.633177570093458,0.9795081967213115,"{'learning_rate': 0.08752737304866422, 'max_depth': 3, 'n_estimators': 320, 'subsample': 0.8607646995928829}"
catboost,0.3601348736170049,0.44737138861949977,0.8831101847848563,0.6299065420560748,0.6448598130841121,0.9332552693208431,"{'depth': 4.0, 'iterations': 490.0, 'learning_rate': 0.1376332588529625, 'verbose': 0}"
rf,0.3253368046181896,0.35773690427404004,0.8616550093921552,0.616822429906542,0.633177570093458,0.9233021077283372,"{'max_depth': 9, 'max_features': 0.6909566307612283, 'n_estimators': 80}"
logistic,0.22934415874532021,0.21331507960653084,0.22273056933921564,0.5850467289719626,0.6098130841121495,0.5901639344262295,{'C': 24.973823635854384}
knn,0.17187945941408544,0.3071368676045839,0.3897953631135871,0.5476635514018692,0.6144859813084113,0.6779859484777517,{'n_neighbors': 4}
