,QWK_test,QWK_val,QWK_train,acc_test,acc_val,acc_train,params
xgb,0.358297374387479,0.42772695285010554,0.7604670022103782,0.616822429906542,0.6425233644859814,0.8483606557377049,"{'colsample_bytree': 0.8608864388238292, 'learning_rate': 0.0750627060123895, 'max_depth': 3, 'n_estimators': 160, 'subsample': 0.6359212551445828}"
lgbm,0.3044219406844546,0.39678888738555895,1.0,0.6056074766355141,0.6051401869158879,1.0,"{'learning_rate': 0.06938277315815057, 'max_depth': 10, 'n_estimators': 460, 'subsample': 0.9111267435501095}"
catboost,0.3372349690672114,0.4184782608695652,0.515710467388057,0.6467289719626168,0.6448598130841121,0.7423887587822015,"{'depth': 3.0, 'iterations': 370.0, 'learning_rate': 0.06706878082514252, 'verbose': 0}"
rf,0.311560105249006,0.36053177216733745,0.8459825615228129,0.6299065420560748,0.6308411214953271,0.914519906323185,"{'max_depth': 9, 'max_features': 0.5984407691878466, 'n_estimators': 150}"
