,QWK_test,QWK_val,QWK_train,acc_test,acc_val,acc_train,params
xgb,0.3461934704607623,0.37901338575306565,1.0,0.6186915887850467,0.6378504672897196,1.0,"{'colsample_bytree': 0.7315515090476081, 'learning_rate': 0.054644023579330174, 'max_depth': 8, 'n_estimators': 300, 'subsample': 0.7449201042944278}"
lgbm,0.3075339849772962,0.38820491538709834,0.9605225311601151,0.5962616822429907,0.6355140186915887,0.968384074941452,"{'learning_rate': 0.011966820584752994, 'max_depth': 9, 'n_estimators': 320, 'subsample': 0.6502106773952542}"
catboost,0.31622864362210046,0.37799517935630234,0.9493327465681147,0.6056074766355141,0.6355140186915887,0.9713114754098361,"{'depth': 7.0, 'iterations': 250.0, 'learning_rate': 0.11753964209166218, 'verbose': 0}"
rf,0.3243984290221551,0.3691609977324264,0.7944840318794721,0.6336448598130842,0.6285046728971962,0.8940281030444965,"{'max_depth': 8, 'max_features': 0.992025259964066, 'n_estimators': 170}"
logistic,0.1622912408022631,0.1759732460375404,0.1526989375037634,0.5887850467289719,0.5841121495327103,0.5766978922716628,{'C': 54.51902206228496}
knn,0.15215847505139224,0.2466464092492403,0.2718991121627913,0.5850467289719626,0.602803738317757,0.6305620608899297,{'n_neighbors': 8}
