,QWK_test,QWK_val,QWK_train,acc_test,acc_val,acc_train,params
xgb,0.2948604389141233,0.4226574518402866,0.8650201418626405,0.616822429906542,0.6378504672897196,0.9110070257611241,"{'colsample_bytree': 0.8674862273007795, 'learning_rate': 0.08293109944093376, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.5987137923807175}"
lgbm,0.28789782030726085,0.41354270252769365,0.8773896539568631,0.594392523364486,0.6285046728971962,0.917447306791569,"{'learning_rate': 0.0557301128600552, 'max_depth': 3, 'n_estimators': 400, 'subsample': 0.8616492018371803}"
catboost,0.31888311071790776,0.3959410209380433,0.9740599883544466,0.6149532710280374,0.6425233644859814,0.9847775175644028,"{'depth': 9.0, 'iterations': 400.0, 'learning_rate': 0.05092092714865183, 'verbose': 0}"
rf,0.29581560500780557,0.357381580600578,0.6470990518085873,0.6280373831775701,0.6495327102803738,0.8272833723653396,"{'max_depth': 7, 'max_features': 0.5691237936670204, 'n_estimators': 130}"
