,QWK_test,QWK_val,QWK_train,acc_test,acc_val,acc_train,params
xgb,0.3100614458745291,0.3891747128056946,0.9980579300809347,0.6093457943925233,0.6074766355140186,0.9976580796252927,"{'colsample_bytree': 0.7232949621865716, 'learning_rate': 0.051372561047573366, 'max_depth': 5, 'n_estimators': 380, 'subsample': 0.8231561624452451}"
lgbm,0.35075119403302835,0.40242618448157474,1.0,0.611214953271028,0.5981308411214953,1.0,"{'learning_rate': 0.07045898968498444, 'max_depth': 9, 'n_estimators': 330, 'subsample': 0.9068277038201439}"
catboost,0.30338541666666663,0.38081570297671397,0.5422948353239604,0.6037383177570094,0.6121495327102804,0.765807962529274,"{'depth': 3.0, 'iterations': 250.0, 'learning_rate': 0.1425086308036075, 'verbose': 0}"
rf,0.2649068287716084,0.2559984330623837,0.8352732625839006,0.611214953271028,0.6051401869158879,0.9057377049180327,"{'max_depth': 9, 'max_features': 0.8255479867453104, 'n_estimators': 170}"
