,QWK_test,QWK_val,QWK_train,acc_test,acc_val,acc_train,params
xgb,0.26926679967677114,0.39196319848464345,1.0,0.6056074766355141,0.6074766355140186,1.0,"{'colsample_bytree': 0.8157102896586363, 'learning_rate': 0.06298659006842235, 'max_depth': 8, 'n_estimators': 290, 'subsample': 0.9989685021858635}"
lgbm,0.3396939285881351,0.3894768935929265,1.0,0.6093457943925233,0.5841121495327103,1.0,"{'learning_rate': 0.07887749799747709, 'max_depth': 6, 'n_estimators': 290, 'subsample': 0.7493712892144593}"
catboost,0.3101349258376136,0.3535771065182829,0.8335970952917302,0.6149532710280374,0.6098130841121495,0.9104215456674473,"{'depth': 5.0, 'iterations': 400.0, 'learning_rate': 0.08495678444142914, 'verbose': 0}"
rf,0.253674002237971,0.29574825846745123,0.9112151260038258,0.611214953271028,0.6191588785046729,0.9420374707259953,"{'max_depth': 10, 'max_features': 0.8731253425965785, 'n_estimators': 240}"
logistic,0.04802502293893218,0.11903682313915465,0.06428679046291763,0.5663551401869159,0.5887850467289719,0.5626463700234192,{'C': 0.030855011375553333}
knn,0.11262810994821282,0.2046156309325038,0.3574000037389268,0.5271028037383177,0.5677570093457944,0.6610070257611241,{'n_neighbors': 4}
