,QWK,params,Accuracy
xgb,0.3988224523865085,"{'colsample_bytree': 0.7035456111692411, 'learning_rate': 0.060208384304955516, 'max_depth': 5, 'n_estimators': 240, 'subsample': 0.8056784463156683}",0.6317757009345795
lgbm,0.3988224523865085,"{'learning_rate': 0.03008471107822573, 'max_depth': 8, 'n_estimators': 280, 'subsample': 0.5090346064466067}",0.6261682242990654
catboost,0.404604182344275,"{'depth': 9.0, 'iterations': 310.0, 'learning_rate': 0.16501343947645353, 'verbose': 0}",0.6186915887850467
rf,0.33405093319511026,"{'max_depth': 9, 'max_features': 0.8100594988383205, 'n_estimators': 250}",0.6299065420560748
logistic,0.2372822420807399,{'C': 1.934424942294513},0.5831775700934579
knn,0.17393464551882287,{'n_neighbors': 32},0.6149532710280374
