,QWK,params,Accuracy
xgb,0.36789190991526466,"{'colsample_bytree': 0.8029360959580759, 'learning_rate': 0.07873678555788104, 'max_depth': 4, 'n_estimators': 190, 'subsample': 0.704881309220239}",0.6205607476635514
lgbm,0.36147878665871,"{'learning_rate': 0.1522352308552376, 'max_depth': 3, 'n_estimators': 220, 'subsample': 0.5951105778710621}",0.6130841121495327
catboost,0.331922989341619,"{'depth': 5.0, 'iterations': 350.0, 'learning_rate': 0.07813378675103545, 'verbose': 0}",0.616822429906542
rf,0.27464968931289835,"{'max_depth': 9, 'max_features': 0.6976654238333637, 'n_estimators': 100}",0.611214953271028
logistic,0.0830636251127308,{'C': 17.973043712331908},0.5757009345794393
knn,0.18055680691954223,{'n_neighbors': 3},0.5514018691588785
