,QWK,params,Accuracy
xgb,0.4205222007029624,"{'colsample_bytree': 0.8511105445150815, 'learning_rate': 0.0431839551488673, 'max_depth': 7, 'n_estimators': 350, 'subsample': 0.8638690516390437}",0.6317757009345795
lgbm,0.39772025479505235,"{'learning_rate': 0.03489322978122816, 'max_depth': 4, 'n_estimators': 430, 'subsample': 0.6226067744404331}",0.6205607476635514
catboost,0.38613514361083956,"{'depth': 6.0, 'iterations': 120.0, 'learning_rate': 0.09592304005552751, 'verbose': 0}",0.6429906542056075
rf,0.38182878864863845,"{'max_depth': 8, 'max_features': 0.9736398357724354, 'n_estimators': 210}",0.6336448598130842
logistic,0.15218992493173933,{'C': 33.81196571227635},0.5813084112149532
knn,0.17591756519891644,{'n_neighbors': 36},0.6224299065420561
