,QWK,params,Accuracy
xgb,0.36393071772133134,"{'colsample_bytree': 0.8024535797815522, 'learning_rate': 0.06058911009695473, 'max_depth': 5, 'n_estimators': 180, 'subsample': 0.6798605281119082}",0.6224299065420561
lgbm,0.36759685759814764,"{'learning_rate': 0.03181219722084285, 'max_depth': 3, 'n_estimators': 450, 'subsample': 0.7737196790688202}",0.6261682242990654
catboost,0.39382261324202694,"{'depth': 3.0, 'iterations': 400.0, 'learning_rate': 0.12153702402866495, 'verbose': 0}",0.6261682242990654
rf,0.3210453523010518,"{'max_depth': 6, 'max_features': 0.7402785843556206, 'n_estimators': 130}",0.6261682242990654
logistic,0.24691252410875375,{'C': 90.97491927249492},0.5906542056074766
knn,0.16631717461648854,{'n_neighbors': 19},0.5850467289719626
